wavelength_muv calibration_curve solar_continuum co_cameron co2_uvd o_2972 no_nightglow
2.135620281823221944e+02 3.722323798543547405e-04 1.527594774961471558e-01 1.349341273307800293e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.357046008110046387e-01
2.142234281921778063e+02 3.664377496059949540e-04 1.750123500823974609e-01 1.468952149152755737e-01 0.000000000000000000e+00 0.000000000000000000e+00 8.558712601661682129e-01
2.148848282020334182e+02 3.608566446691029335e-04 1.741445064544677734e-01 2.215182185173034668e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.811857759952545166e-01
2.155462282118890585e+02 3.553538361671293357e-04 1.647423058748245239e-01 6.868029236793518066e-01 0.000000000000000000e+00 0.000000000000000000e+00 9.211213141679763794e-02
2.162076282217446987e+02 3.514953984641473739e-04 1.580703705549240112e-01 1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.791984289884567261e-02
2.168690282316003106e+02 3.477942185873118906e-04 1.550033390522003174e-01 6.717299222946166992e-01 0.000000000000000000e+00 0.000000000000000000e+00 2.952881343662738800e-02
2.175304282414559509e+02 3.435215321491885991e-04 1.699457913637161255e-01 5.815899968147277832e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.854074701666831970e-02
2.181918282513115628e+02 3.390289245134300660e-04 2.012201696634292603e-01 5.472168326377868652e-01 0.000000000000000000e+00 0.000000000000000000e+00 5.817111209034919739e-02
2.188532282611672031e+02 3.352049718828595888e-04 2.067002803087234497e-01 3.702695071697235107e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.762022033333778381e-02
2.195146282710228434e+02 3.317695420015613498e-04 2.198946923017501831e-01 2.789884805679321289e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.636995330452919006e-02
2.201760282808784552e+02 3.283826443565488048e-04 2.280067205429077148e-01 2.311841547489166260e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.435471817851066589e-02
2.208374282907340955e+02 3.256056951421666722e-04 2.079536765813827515e-01 1.866526305675506592e-01 0.000000000000000000e+00 0.000000000000000000e+00 7.588839530944824219e-02
2.214988283005897074e+02 3.231555985529840783e-04 1.951037645339965820e-01 1.520710289478302002e-01 0.000000000000000000e+00 0.000000000000000000e+00 1.567731350660324097e-01
